simbolo del dollaro;dollar symbol;dollarin merkki
numero civico;street number;kadunnumero
tram;tram;raitiovaunu
chiave;key;avain
pistola;pistol;pistooli
cannone;cannon;tykki
segno ok;ok-sign;ok-merkki
mongolfiera;montgolfier,hot-air balloon;kuumailmapallo
pisellino;swee'pea;hajuherne
gomma da masticare;chewing-gum;purukumi
ombrellone;beach umbrella;aurinkovarjo;canna da zucchero;sugarcane;sokeriruoko
carota;carrot;porkkana
stivale;boot;saapas
codice morse;morse code;morsetus
@;@;@
mandarino;tangerine;mandariini
piede;foot;jalkapöytä
sole;sun;aurinko
mouse;mouse (device); hiiri (atk)
premio;prize;palkinto
valigetta;briefcase;(pieni)laukku
sassofono;saxophone;saksofoni
cavalletto;trestle;maalausteline
salame;salami;meetvursti
ramo;branch;oksa
fiammifero;match (tool);tulitikku
cappello a cilindro;tophat;silinterihattu
mannaia;cleaver,meat axe;lihakirves
lampione;street lamp;lyhtypylväs
missile;missile;ohjus
pala;shovel;lapio
cornice;frame (ex. of a paint);kehys
carota;carrot;porkkana
femmina;female;naaras
minigonna;miniskirt;minihame
barattolo;pot,can;purkki
scatola;box;laatikko
rossetto;lipstick;huulipuna
busto;bust;rintakehä
bocca;mouth;suu
su;up;ylös
frusta;whip,lash;piiska
pallavolo;volleyball;lentopallo
caviglia;ankle;nilkka
peluche;plush,felt,fluffy tou;pehmolelu
euro;euro;euro
gabbia;cage;häkki
apostrofo;apostrophe;heittomerkki
coperta;blanket;peitto
tappo di bottiglia;cap,plug,cork;pullonkorkki
frittelle;pancakes;letut
fumetto;comic strip;sarjakuva
punto e virgola;semicolon;puolipiste
p greco;pi (greek letter);pi (kreikkalainen kirjain)
punto interrogativo;question mark;kysymysmerkki
fagiolo;bean;papu
basket;basketball;koripallo
metro;meter;metri
ferrovia;railway;rautatie
guanto da baseball;baseball glove;pesäpalloräpylä
gancio;hook;haka
chiave;key;avain
cubetto di ghiaccio;ice cube;jääkuutio
catena;chain;ketju
congiunzione;conjunction (gramm.) or junction,link
konjunktio
croce rossa;red cross;punainenristi
campanello;door buzzer;ovikello
croce di ferro;iron cross;rautaristi
esagono;hexagon;kuusikulmio
fionda;slingshot;ritsa
ananas;pineapple;ananas
champagne;champagne;champagne
barriera;barrier;este
annaffiatoio;watering can;kastelukannu
papillon;bow tie;rusetti
stella;star;tähti
panino;sandwich;sämpylä
paraorecchie;earflap;korvaläpät
punto;point;piste
palla 8;ball number 8;pallo nro 8
beach volley;beach volley;beach volley
timbro;stamp or tone (of voice);sointi tai leimä
orsetto di peluche;teddy bear;nallekarhu
guanto;glove;käsine
cintura;belt;vyö
blocco;block or stoppage;möhkäle tai blokki tai saarto
arco e freccia;bow and arrow;jousi ja nuoli
filo spinato;barbed wire;piikkilanka
stella di davide;star of david;daavidintähti
pentola d'oro;pot full of gold;kattila täynnä kultaa
anguria;watermelon;vesimeloni
pentagramma;staff (music);nuottiviivasto
stella marina;starfish;meritähti
lanterna;lantern,lyhty
fungo a ombrello;umbrella shaped mushroom;sateenvarjon muotoinen sieni
ariete;ram,tup;oinas
guizzo;wriggle,frisk;värähdys
trolley;trolley;trolley
ferro di cavallo;horseshoe;hevosenkenkä
cd;cd;cd
cielo;sky;taivas
grancassa;bass drum;bassorumpu
chicco di caffé;coffee-bean;kahvinpapu
borsa;bag;laukku
tridente;trident;hankotahkko
foglia di fico;fig leaf;viikunalehti
fantasma;ghost;kummitus
tazza;cup;kuppi
tubo di scarico;draining pipe;viemäriputki
tris;three of a kind;kolmoset
lacrima;tear;kyynel
braccio;arm;käsivarsi
pistola;pistol;pistooli
lecca lecca;lollipop;tikkari
italia;italy;italia
mezz'asta;at half mast;puolitangossa
forchetta;fork (cutlery);haarukka
salsiccia;sausage;makkara
anguilla;eel;ankerias
camion;truck;kuorma-auto
cervello;brain;aivot
crostata;tart;piirakka
mirino;foresight (tool);tähtäin
lapide;tombstone;hautakivi
penna;pen (for writing); kynä
peperoncino;chilli;chilipaprika
candito;candied (fruit);sokeroitu hedelmäpala
moneta;coin;kolikko
palanchino;crowbar;sorkkarauta
cazzuola;trowel;muurauslasta
busta;bag;pussi
ditale;thimble;sormustin
verme;worm;mato
pugno;fist;nyrkki
commedia;commedy;komedia
pagnotta;(round) loaf;limppu,pyöreä leipä
tetto;roof;katto
finestra;window;ikkuna
pennarello;marker;tussi
puntina;drawing pin;piirustusnasta
hula hoop;hula hoop;hula-vanne
cannuccia;straw (tool);pilli
luna;moon;kuu
pendolo;pendulum;heiluri
basette;sideburns;pulisongit
stella cadente;shooting star;tähdenlento
punto esclamativo;exclamation mark;huutomerkki
conto;bill;lasku
colonia;colony;siirtomaa
brandy;brandy;brandy
bacchetta magica;magic wand;taikasauva
chicco di grano;wheat grain
vehnänjyvä
triangolo;triangle;kolmio
cioccolato;chocolate;suklaa
petali;petal;terälehdet
sedia;chair;tuoli
piattino;saucer;pieni lautanen
vaso;vase;vaasi
imbuto;funnel;suppilo
bolla;bubble;kupla
quadrato;square;ruutu
uovo di pasqua;easter egg (food);pääsiäismuna
burrocacao;lip balm;kakaovoi
dito del piede;toe;varvas
fuoco;fire;tuli
ganasce;jaws, brake-shoes;puristinpidike
mandorla;almond;manteli
ombrello;umbrella;sateenvarjo
grilletto;trigger;liipaisin
colonna;column or pillar;pylväs tai sarake
appendere;to hang up;ripustaa
blackjack;blackjack;blackjack
pioggia;rain;sade
candela;candle;kynttilä
tubo;pipe;putki
fischietto;whistle;pilli (soitin)
gelatine;gelatine,jelly;liivatteet
coltellino svizzero;swiss army knife;linkkuveitsi
barile;barrel,cask;tynnyri
albero;tree;puu (kasvi)
asso;ace (cards);ässä (pelikortit)
appendino;coat hook;ripustin
sporgenza;protrusion;uloke
parallelo;parallel;samansuuntainen
giù;down;alas
equazione;equation;yhtälö
riparo;shelter;suoja
stendino;clothes rack;pyykinkuivausteline
medaglia;medal;mitali
strisce;stripes;raidat
calcio;calcium or kick or football;kalsium tai potku tai jalkapallo
mattarello;rolling pin;kaulin
camino;chimney;takka
capelli;hair;hiukset
spatola;spatula;lasta
clarinetto;clarinet;klarinetti
padella;frying pan;paistinpannu
