traffico clandestino;illicit trade;salakauppa
museo;museum;museo
costellazione;constellation;tähtikuvio
muscolo;muscle;lihas
toro;bull;härkä
skateboard;skateboard;skateboard
new york;new york;new york
borsa della spesa;shopping bag;ostoskassi
piscina;swimming pool;uimahalli;
cassetta della posta;mailbox;postilaatikko
piedistallo;pedestal;jalusta
album;album;albumi
golia;goliath;goljat
piramide;pyramid;pyramidi
papillon;bow tie;rusetti
bus;bus (vehicle);bussi
excalibur;excalibur;excalibur
turbante;turban;turbaani
castello;castle;linna
carciofi;artichokes;artisokat
montagne;mountains;vuoret
radio;radio;radio
covone di fieno;hay sheaf;heinäseiväs
formaggio svizzero;swiss cheese;sveitsiläinen juusto
margherita;daisy (flower);päivänkakkara
stoppino;wick (candle);kynttilän sydänlanka
mammelle;breasts,udders;rinnat
pinta;pint;tuoppi (mittayksikkö)
armadio;wardrobe;vaatekaappi
auto usata;second hand car;käytetty auto
polpetta;meatball;lihapulla
boa;buoy;poiju
laccio da scarpe;shoelace;kengännauha
chip da poker;poker chip;pelimarkka
attaccapanni;cloth stand;naulakko
gallina;chicken;kana
fortezza;fortress;linnoitus
dama;lady or draughts;hovinainen tai tammi (peli)
banda;band;yhtye
cintura di sicurezza;safety belt;turvavyö
gabbia;cage;häkki
palla da bowling;bowling ball;bowling-pallo
biberon;feeding bottle;tuttipullo
piselli;peas;herneet
panino;sandwich;(täytetty) sämpylä
scarpata;scarp;jyrkkärinne
bomba;bomb;pommi
mare;sea;meri
fermaglio;clasp,fastener;hiussolki
gemelli;twins;kaksoisveljet
edicola;newsstand;lehtikioski
flanella;flannel;flanelli
boomerang;boomerang;boomerang
sgabello;stool (e.g. for feet);jakkara
birra alla spina;draught beer;hanaolut
tagliere;chopping board;leikkauslauta
mappa;map;kartta
strozzino;usurer;kiskuri
pizza;pizza;pizza
ringhiera;railing,banister;tukikaide
cronometro;chronometer;tarkuuskello
barca a remi;rowing boat;soutuvene
lago;lake;järvi
semaforo;semaphore,traffic lights;liikennevalo
siepe;hedge,fence (plant);pensasaita
lampione;street lamp;katulampu
triciclo;tricycle;kolmipyörä
campo da calcio;football field;futiskenttä
automobile;car;auto
cetriolo;cucumber;kurkku (kasvi);
branchia;gill;kidukset
morbillo;measles;tuhkarokko
bandierina;small flag;viiri
righello;ruler (tool);viivoitin
vasca da bagno;bathtub;kylpyaamme
frutteto;orchard;hedelmäpuutarha
igloo;igloo;igloo
narici;nostrils;sieraimet
uscita;exit;uloskäynti
imperatore;emperor;keisari
parafango;mudguard;lokasuoja
impermeabile;waterproof;vesitiivis
mescolare;to mix, to blend;sekoittaa
capanna;hut;maja
modello;model;malli
lancia;spear;keihäs
gesso;chalck;liitu
foglio;sheet (paper);ärkki
kebab;kebab;kebab
gambero;lobster;katkarapu
manubrio;handlebar;kahva,ohjaustanko
motorino;moped;mopo
topo di biblioteca;bookworm;lukutoukka
cisterna dell'acqua;water cistern; vesisäiliö
mais;corn;maissi
presa;hold or plug;ote tai pistorasia
testiera del letto;bedhead;sängynpääty
barca a vela;sailing boat;purjevene
metronomo;metronome;metronomi
collare;collar;kaulus
archi;arcs;kaaret
molletta;clothes peg;pyykkipoika
corona;crown;kruunu
urto;clash,collision;tönäisy
formica;ant;murahainen
tartatuge;tortoise;kilpikonna
macete;machete;viidakkoveitsi
pesce volante;flying-fish;lentokala
guantoni da boxe;boxing gloves;nyrkkeilyhanskat
lavatrice;washing machine;pesukone
stivali da pioggia;rain boots;säteensaappaat
corridore;racer;juoksija
totem;totem;toteemi
telescopio;telescope;teleskooppi
orologio tascabile;pocket watch;taskukello
botola;trapdoor;loukku
tappetino;pad,mat;pikkumatto
pinzette;tweezers;pinsetit
casco;helmet;kypärä
spiraglio;small hole,chink;pieni aukko,vilahdus
luce;light (subs.);valo
bevanda;drink;juoma
trolley;trolley;trolley
carta igienica;toilet paper;vessapaperi
mago;magician;taikuri
specchio;mirror;peili
tre;three;kolme
cherubino;cherub;kerubi
alce;elk;hirvi
rimbalzo;bounce;ponnahdus
chiusura;closure;sulkeminen
cartone di uova;eggs' cardboard;munakenno
zoccoli;clogs,sabots;puukengät
trono;throne;valtaistuin
altalena;swing (seat);keinu
prete;priest;pappi
biscotto;cookie;keksi
barilotto;keg;leveä maatala tynnyri
roccia;rock (mineral);kivi
cestino;basket;kori
pubblico;audience;yleisö
lampada;lamp;lamppu
rotto;broken;rikki
tigre;tiger;tiikeri
hippy;hippy;hippy
lavoro a maglia;knitting;neulos
patata dolce;sweet potato;bataatti
bullone;screw bolt;pultti
taxi;taxi;taksi
amplificatore;amplifier;vahvistin
voto;vote;äänestys
calamita;magnet;magneetti
tesoro;treasure;aarre
stivali di gomma;rubber boots;kumisaappaat
cubetti di ghiaccio;ice cubes;jääkuutiot
ragazza;girl;tyttö
blocknotes;blocknotes;muistilehtiö
squalo;shark;hai
pupazzo di neve;snowman;lumiukko
credenza;belief or sideboard;usko tai astiakaappi
sedia a dondolo;rocking chair;keinutuoli
tentacolo;tentacle;tuntosarvi,lonkero
cartello stradale;road sign;liikennekyltti
maschio;male;uros
arco di trionfo;triumphal arch;riemukaari
tuorlo;yolk;munankeltuainen
alghe;algas;levät
guinzaglio;leash;talutushihna
giuria;jury;valamiehistö
via lattea;milky way;linnunrata
pacco;packet,package;paketti
attico;attic;ullakko
divano;sofa;sohva
fiume;river;joki
cappello di paglia;straw hat;olkihattu
iceberg;iceberg;jäävuori
rovescio;backhand,reverse,back;nuripäin
sorriso;smile;hymy
culla;cradle;kehto
vulcano;volcano;tulivuori
futon;futon;futon
microonde;microwave oven;mikroaaltouuni
tavola da surf;surfboard;surf-lauta
rasoio;razor;partaveitsi
giraffa;giraffe;kirahvi
