piedistallo;pedestal;jalusta
ciotola;vowl;kulho
tasca;pocket;tasku
crema;cream;voide
sabbia;sand;hiekka
manette;handcuffs;käsiraudat
uomo ragno;spider-man;hämähäkkimies
garage;garage;autotalli
testa o croce;heads or tails;kruuna tai klaava
cono;cone;kartio
melanzana;eggplant;munakoiso
parcheggio;parking area;pysäköinti alue
mantide religiosa;praying mantis;rukoilijasirkka
fibbia;buckle;vyönsolki
vite;screw or vine;ruuvi tai köynnös
risciò;rickshaw;riksa
stelo;stalk,stem (e.g. of flower);varsi (kukka)
camicia;shirt;kauluspaita
lumaca;snail;etana
fiocco di neve;snowflake;lumihiutale
faro;lighthouse;majakka
capanna;hut;maja
attorcigliare;to twist,to twine;kiertää,vääntää
salmone affumicato;smoked salmon;savulohi
ciuccio;dummy,pacifier;tutti
giardino;garden;puutarha
pianoforte;piano;piano
progetto;project;projecti,suunnitelma
pasticcio di carne;meat pie;lihapiiras
meteora;meteor,shooting star;meteoriitti
sonnellino;nap;nokoset
carrarmato;tank (mil.);panssarivaunu
tritacarne;meat mincer;lihamylly
mandolino;mandolin;mandolino
cerotto;plaster,patch;laastari
lentiggini;freckles;pisamat
bambola;doll;nukke
ascia;axe;kirves
vena;vein;suoni
nucleo;nucleus,core;ydin
trincea;trench;juoksuhauta
barbiere;barber;parturi
esplosione;explosion;räjähdys
dalmata;dalmata;dalmata
ghiacciolo;ice lolly,popsicle;mehujää
limousine;limousine;limousine;
pancetta;bacon;pekoni
tonno;tuna fish;tonnikala
carnevale;carnival;karnevaali
elastico;elastic;elastinen
passaporto;passport;passi
giacca;jacket;takki
biliardo;billiards;biljardi
paura;fear;pelko
rullo;roll(er);pärinä
binario;binary or rail;raide tai binääri
jukebox;jukebox;jukebox
strisce pedonali;pedestrian crossing;suojatie
fish & chips;fish & chips;fish & chips
uovo marcio;rotten egg;mätä muna
incrocio;crossing;risteys
cesto da picnic;picnic basket;picnic-kori
fragola;strawberry;mansikka
radice;root;juuri
anatra;duck;ankka,sorsa
formaggio;cheese;juusto
coda;tail;häntä
soldi;money;rahat
luna park;amusement park;huvipuisto
pelliccia di visone;mink coat;minkkiturkki
vaso di fiori;flowerpot;kukkariukku
manichino;manikin,dummy;vaatenukke
cresta;crest;heltta
cammello;camel;kameli
vortice;whirlpool;pyörre
vaporizzatore;vaporizer;höyrystin
liquore;liqueur;likööri
ammaccatura;dent,bruise;kolhu
calciatore;football player;jalkapalloilija
dentista;dentist;hammaslääkäri
buonuscita;golden handshake,retirement bonus;lopputili
smorfia;grimace;irvistys
pozzanghera;puddle;lätäkkö
vamp;vamp;vamppi
linea costiera;coastal line;rantaviiva
candelabro;candelabrum;kynttelikkö
sedia del regista;director's chair;ohjaajan tuoli
lavandino;sink,washbasin;pesuallas
melograno;pomegranate;granaattiomena
tatuaggio;tattoo;tatuointi
piscina;swimming pool;uimahalli,uima-allas
sala da ballo;dance hall;tanssisali
piccione;pidgeon;pulu
calamita;magnet;magneetti
gettone;coin;rahake
topo;mouse (animal);hiiri (eläin)
falena;moth;yöperhonen
forno;oven;uuni
cibo;food;ruoka
bambù;bamboo;bambu
prezzemolo;parsley;persilija
palcoscenico;stage (theathre);näyttämö
laccio emostatico;tourniquet;kiristysside
