sbadiglio;yawn;haukotus
quiz;quiz;tietokilpailu
occhio;eye;silmä
leone;lion;leijona
malato;sick;sairas
cavalletta;grasshopper;heinäsirkkä
supino;supine;selällään
pestare con i piedi;to crush sthg under feet;talloa
asfissia;asphyxia;tukehtuminen
piantagione;plantation;viljelmä
diva;female star;diva
mummia;mummy;muumio
buddha;buddha;buddha
doccia;shower;suihku
falegname;joiner,carpenter;puuseppä
vescovo;bishop (church);piispa
sabbie mobili;quicksand;juoksuhieksat
spaventapasseri;scarecrow;variksenpelätin
poliziotto;policeman;poliisi
maiale;pig;sika
squash;squash;squash
pupazzo a molla;push puppet;vieterinukke
toro;bull;härkkä
maggiordomo;butler;hovimestari
dare una spinta;to give a push;työntää
genio;genius;nero
nuotatore;swimmer;uimari
segreto;secret;salaisuus
cocktail shacker;cocktail shacker;cocktail shacker
pesce spda;swordfish;miekkakala
lavare;to wash;pestä
scopa;broom;lattiaharja
esame oculistico;oculist check-up
silmätarkastus
barone;baron;paroni
pudore;decency,modesty,reserve;häveliäisyys
gargarismi;gargle;kurlaukset
piegare;to fold (up);taivuttaa
danzatrice;female dancer;naistanssija
samurai;samurai;samurai
freno;brake;jarru
sogliola;tongue-fish;meriantura
marciare;to march;marssia
cantante rock;rock singer;rocklaulaja
firma;signature;allekirjoitus
aspirazione;aspiration,inhalation;imu
armonica;harmonica;harmonikka
capriccio;whim;oikku
ombra;shadow;varjo
bikini;bikini;bikini
schiaffo;slap,smack;läimäisy
palestra;gymnasium,gym;kuntosali
aspirapolvere;vacuum cleaner;imuri
trucco;make-up;meikki
titanic;titanic;titanic
cieco;blind (person);sokea
spazzolino da denti;toothbrush;hammasharja
sciocchino;silly;tyhmä,typerä
sceriffo;sheriff;seriffi
marionetta;marionette;marionetti
Y.M.C.A.;Y.M.C.A.;Y.M.C.A.
suora;nun;nunna
seggiovia;chair lift;näköalahissi
attaccabrighe;quarrelsome person;riidanhaastaja
statua di cera;wax statue;vahapatsas
infarto;heart attack;infarkti
mago;magician;taikuri
microscopio;microscope;mikroskooppi
eccitato;excited;innostunut
granchio;crab;rapu
salsa;salsa (dance);salsa
sonno;sleep;uni
cupido;cupid;amor
centralinista;switchboard operator;keskuksenhoitaja
guardia;guard;vartija
astronauta;astronaut;astronautti
fantino;jockey;ratsastaja
esploratore;explorer;tutkimusmatkailija
sanguisughe;bloodsucker;iilimato
afferrare;to grab;tarttua
vecchio;old;vanha
mal di gola;sore throat;kurkkukipu
esausto;exahausted;lopen uupunut
pazzo;mad;hullu
morto;dead;kuollut
citofono;entryphone;ovipuhelin
ombelico;navel;napa
scimpanzé;chimpanzee;simpanssi
bufalo;buffalo;puhveli
bocca chiusa;mouth closed;kiini oleva suu
alpinista;mountaineer,alpinist;vuorikiipeilijä
battesimo;baptism,christening;kaste
karateka;karateka;karateka
discoteca;discotheque;disko
breakdance;breakdance;breakdance
psycho;psycho;psycho
profumo;parfume;tuoksu,hajuvesi
grasso;fat;rasva tai lihava
corda per saltare;skipping rope;hyppynaru
babbo natale;santa claus;joulupukki
personaggio d'azione;action character;action-hahmo
autista;car driver;autonkuljettaja
morso;bite;puraisu
valletta;female tv-assistant;tv-assistentti (nainen)
starnutire;to sneeze;aivastaa
buttafuori;call-boy,boucer;portsari
crema da corpo;body lotion;ihovoide
kung fu;kung fu;kung fu
vischio;mistletoe;misteli
suonatore ambulante;street musician;keirtävä soittaja
affamato;hungry;nälkäinen
polipo;polyp,octopus;polyyppi
pappagallo;parrot;papukaja
cricket;cricket;cricket
masticare;to chew;pureskella
pregare;to pray;rukoilla
biliardo;billiards;biljardi
mimo;mime;miimikko
crollare;to collapse;sortua
calcio;kick or football or calcium;potku tai jalkapallo tai kalsium
gobba;hunch;kyttyrä
sorriso;smile;hymy
vento;wind;tuuli
prigioniero;prisoner;vanki
flamenco;flamenco;flamenco
solletico;tickle;kutitus
nauseante;nauseating;ällöttävä
tastiera;keyboard;näppäimistö
ninja;ninja;ninja
criniera;mane;hevosenharja
baule;trunk,boot;matka-arkku
cacciatore;hunter;metsästäjä
pinguino;penguin;pingviini
pinzatrice;stapler;nitoja
ginnasta;gymnast;voimistelija
